#SAMPLE	SMILES	Max_Rank	Max_Probability
SJ000550782-1	CCN1/C(=C/c2sc3ccc(O)cc3[n+]2CC)C=Cc2cc(C)ccc21	1056	0.99990
SJ000550949-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccccc2)cc1OC	1056	0.94115
SJ000550462-1	N=c1n(CCN2CCCC2)c2ccccc2n1CC(O)c1ccc(Cl)c(Cl)c1	1056	0.84961
SJ000550778-1	CC[n+]1c(/C=C/N2CCCc3ccccc32)sc2cc(C)c(C)cc21	1055	0.98293
SJ000550955-1	COc1ccc(C2CC(=O)NC3=C2C(=O)CC(c2ccccc2)C3)cc1OC	1055	0.94115
SJ000550864-1	OC(CNC1CCCCC1)Cn1c2ccccc2c2ccccc21	1055	0.93999
SJ000550651-1	CC[n+]1c(/C=C/N(C)c2ccccc2)sc2ccc(Cl)cc21	1054	0.96924
SJ000551642-1	Cc1ccc(C)c(Oc2c(C(F)(F)F)oc3c(CN4CCN(C)CC4)c(O)ccc3c2=O)c1	1054	0.85000
SJ000550861-1	OC(CN1CCN(C2c3ccccc3-c3ccccc32)CC1)Cn1c2ccccc2c2ccccc21	1053	0.92066
SJ000550704-1	OC(CNC1CC1)Cn1c2ccccc2c2ccccc21	1053	0.77974
SJ000551007-1	Cc1cc(Nc2cccc(C(F)(F)F)c2)nc(-n2nc(C)cc2C)n1	1052	0.85389
SJ000550867-1	OC(CNCc1ccccc1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1052	0.74000
SJ000550753-1	CCN1/C(=C\C=C(C)\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21	1051	0.84585
SJ000551107-1	CCOc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)cc(Cl)c1O	1051	0.82000
SJ000551671-1	CCOc1ccccc1Oc1c(C(F)(F)F)oc2c(CN3CCCCCC3)c(O)ccc2c1=O	1051	0.74972
SJ000550762-1	CCN1/C(=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21	1050	0.82119
SJ000551645-1	Cc1cccc(Oc2c(C(F)(F)F)oc3c(CN4CCN(C)CC4)c(O)ccc3c2=O)c1	1050	0.81000
SJ000550815-1	CN(C)CCCn1c(=N)n(CC(O)c2ccc(Br)cc2)c2ccccc21	1050	0.67988
SJ000550468-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)c1cccc2ccccc12	1049	0.80498
SJ000550734-1	CC(C)N1CCN(Cc2cc(Br)ccc2O)CC1	1049	0.80000
SJ000551227-1	O=C(Nc1cc(Cl)ccc1O)c1cnn2c1NC(c1ccc(Br)cc1)CC2C(F)(F)F	1048	0.79770
SJ000550863-1	OC(CNCCc1ccccc1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	1048	0.58949
SJ000550933-1	Cc1ccc(-c2cc(O)n(-c3nc(C)cc(C)n3)n2)cc1	1047	0.77725
SJ000550950-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(Cl)cc2Cl)cc1OC	1046	0.76356
SJ000551649-1	CN1CCN(Cc2c(O)ccc3c(=O)c(Oc4ccc5ccccc5c4)c(C(F)(F)F)oc23)CC1	1046	0.70000
SJ000550849-1	OC(CN(C1CCCCC1)C1CCCCC1)Cn1c2ccccc2c2ccccc21	1044	0.72032
SJ000550866-1	OC(CN1CCN(Cc2ccccc2)CC1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1044	0.68000
